uniprot_id,sequence_length,sequence_checksum,molecular_weight,recommended_name,ec_numbers,go_terms,keywords,reactome,subcellular_location,function,pathway,enzyme_regulation,tissue_specificity,developmental_stage,isoform_count,ft_transmem_count,ft_topo_dom_count,ft_domain_count,ft_region_count,ft_binding_count,ft_ptm_count,ft_variant_count,ft_mutagen_count,pdb_count,pdb_ids
P69905,142,,15257.359099999983,Hemoglobin subunit alpha,,GO:0005344;GO:0005506;GO:0005576;GO:0005615;GO:0005829;GO:0005833;GO:0006954;GO:0015670;GO:0015671;GO:0016020;GO:0019825;GO:0020037;GO:0030185;GO:0031838;GO:0042542;GO:0042744;GO:0048821;GO:0070062;GO:0071682;GO:0072562;GO:0098869,KW-0002;KW-0007;KW-0225;KW-0325;KW-0349;KW-0360;KW-0408;KW-0479;KW-0561;KW-0597;KW-0813;KW-0903;KW-0971;KW-1185;KW-1267,R-HSA-1237044;R-HSA-1247673;R-HSA-2168880;R-HSA-9707564;R-HSA-9707616;R-HSA-9927020,,Involved in oxygen transport from the lung to the various peripheral tissues Hemopressin acts as an antagonist peptide of the cannabinoid receptor CNR1 (PubMed:18077343). Hemopressin-binding efficiently blocks cannabinoid receptor CNR1 and subsequent signaling (PubMed:18077343),,,Red blood cells,,0,0,0,0,0,0,0,0,0,341,1A00;1A01;1A0U;1A0Z;1A3N;1A3O;1A9W;1ABW;1ABY;1AJ9;1B86;1BAB;1BBB;1BIJ;1BUW;1BZ0;1BZ1;1BZZ;1C7B;1C7C;1C7D;1CLS;1CMY;1COH;1DKE;1DXT;1DXU;1DXV;1FDH;1FN3;1G9V;1GBU;1GBV;1GLI;1GZX;1HAB;1HAC;1HBA;1HBB;1HBS;1HCO;1HDB;1HGA;1HGB;1HGC;1HHO;1IRD;1J3Y;1J3Z;1J40;1J41;1J7S;1J7W;1J7Y;1JY7;1K0Y;1K1K;1KD2;1LFL;1LFQ;1LFT;1LFV;1LFY;1LFZ;1LJW;1M9P;1MKO;1NEJ;1NIH;1NQP;1O1I;1O1J;1O1K;1O1L;1O1M;1O1N;1O1O;1O1P;1QI8;1QSH;1QSI;1QXD;1QXE;1R1X;1R1Y;1RPS;1RQ3;1RQ4;1RQA;1RVW;1SDK;1SDL;1SHR;1SI4;1THB;1UIW;1VWT;1XXT;1XY0;1XYE;1XZ2;1XZ4;1XZ5;1XZ7;1XZU;1XZV;1Y01;1Y09;1Y0A;1Y0C;1Y0D;1Y0T;1Y0W;1Y22;1Y2Z;1Y31;1Y35;1Y45;1Y46;1Y4B;1Y4F;1Y4G;1Y4P;1Y4Q;1Y4R;1Y4V;1Y5F;1Y5J;1Y5K;1Y7C;1Y7D;1Y7G;1Y7Z;1Y83;1Y85;1Y8W;1YDZ;1YE0;1YE1;1YE2;1YEN;1YEO;1YEQ;1YEU;1YEV;1YFF;1YG5;1YGD;1YGF;1YH9;1YHE;1YHR;1YIE;1YIH;1YVQ;1YVT;1YZI;1Z8U;2D5Z;2D60;2DN1;2DN2;2DN3;2DXM;2H35;2HBC;2HBD;2HBE;2HBF;2HBS;2HCO;2HHB;2HHD;2HHE;2M6Z;2W6V;2W72;2YRS;3B75;3D17;3D7O;3DUT;3HHB;3HXN;3IA3;3IC0;3IC2;3KMF;3NL7;3NMM;3ODQ;3ONZ;3OO4;3OO5;3OVU;3P5Q;3QJB;3QJC;3QJD;3QJE;3R5I;3S48;3S65;3S66;3SZK;3WCP;3WHM;4FC3;4HHB;4IJ2;4L7Y;4M4A;4M4B;4MQC;4MQG;4MQH;4MQI;4MQJ;4MQK;4N7N;4N7O;4N7P;4N8T;4NI0;4NI1;4ROL;4ROM;4WJG;4X0L;4XS0;5E29;5E6E;5E83;5EE4;5HU6;5HY8;5JDO;5KDQ;5KSI;5KSJ;5NI1;5SW7;5U3I;5UCU;5UFJ;5URC;5VMM;5WOG;5WOH;5X2R;5X2S;5X2T;5X2U;6BB5;6BNR;6BWP;6BWU;6DI4;6HAL;6HBW;6HK2;6KA9;6KAE;6KAH;6KAI;6KAO;6KAP;6KAQ;6KAR;6KAS;6KAT;6KAU;6KAV;6KYE;6L5V;6L5W;6L5X;6L5Y;6LCW;6LCX;6NBC;6NBD;6NQ5;6TB2;6XD9;6XDT;6XE7;7AET;7AEU;7AEV;7CUE;7DY3;7DY4;7JJQ;7JXZ;7JY0;7JY1;7JY3;7K4M;7PCF;7PCH;7PCQ;7QU4;7UD7;7UD8;7UF6;7UF7;7UVB;7VDE;7XGY;8DOV;8EGI;8FDK;8FDL;8FDM;8FDN;8VYL;8WJ0;8WJ1;8WJ2;8WXW;8XMP;8XMQ;8XMW;9AV9;9AYZ;9BCJ;9CQM;9CQN;9CQO;9CQP;9CQQ;9CQR;9CQS;9CQT;9CQU;9CQV;9CQW;9FHB;9FMU;9FNO
P68871,147,,15998.206399999986,Hemoglobin subunit beta,,GO:0005344;GO:0005576;GO:0005615;GO:0005829;GO:0005833;GO:0006954;GO:0008217;GO:0015670;GO:0015671;GO:0019825;GO:0020037;GO:0030185;GO:0030492;GO:0031721;GO:0031838;GO:0042542;GO:0042744;GO:0045429;GO:0046872;GO:0048821;GO:0070062;GO:0070293;GO:0070527;GO:0071682;GO:0072562;GO:0097746;GO:0098869;GO:1904724;GO:1904813,KW-0002;KW-0007;KW-0225;KW-0325;KW-0349;KW-0360;KW-0382;KW-0408;KW-0479;KW-0561;KW-0597;KW-0670;KW-0702;KW-0813;KW-0838;KW-0903;KW-0971;KW-1055;KW-1185;KW-1267,R-HSA-1237044;R-HSA-1247673;R-HSA-2168880;R-HSA-6798695;R-HSA-9613829;R-HSA-9615710;R-HSA-9707564;R-HSA-9707616;R-HSA-983231;R-HSA-9927020,,"Involved in oxygen transport from the lung to the various peripheral tissues LVV-hemorphin-7 potentiates the activity of bradykinin, causing a decrease in blood pressure Functions as an endogenous inhibitor of enkephalin-degrading enzymes such as DPP3, and as a selective antagonist of the P2RX3 receptor which is involved in pain signaling, these properties implicate it as a regulator of pain and inflammation",,,Red blood cells,,0,0,0,0,0,0,0,0,0,334,1A00;1A01;1A0U;1A0Z;1A3N;1A3O;1ABW;1ABY;1AJ9;1B86;1BAB;1BBB;1BIJ;1BUW;1BZ0;1BZ1;1BZZ;1C7B;1C7C;1C7D;1CBL;1CBM;1CH4;1CLS;1CMY;1COH;1DKE;1DXT;1DXU;1DXV;1FN3;1G9V;1GBU;1GBV;1GLI;1GZX;1HAB;1HAC;1HBA;1HBB;1HBS;1HCO;1HDB;1HGA;1HGB;1HGC;1HHO;1IRD;1J3Y;1J3Z;1J40;1J41;1J7S;1J7W;1J7Y;1JY7;1K0Y;1K1K;1KD2;1LFL;1LFQ;1LFT;1LFV;1LFY;1LFZ;1LJW;1M9P;1MKO;1NEJ;1NIH;1NQP;1O1I;1O1J;1O1K;1O1L;1O1M;1O1N;1O1O;1O1P;1QI8;1QSH;1QSI;1QXD;1QXE;1R1X;1R1Y;1RPS;1RQ3;1RQ4;1RQA;1RVW;1SDK;1SDL;1THB;1UIW;1VWT;1XXT;1XY0;1XYE;1XZ2;1XZ4;1XZ5;1XZ7;1XZU;1XZV;1Y09;1Y0A;1Y0C;1Y0D;1Y0T;1Y0W;1Y22;1Y2Z;1Y31;1Y35;1Y45;1Y46;1Y4B;1Y4F;1Y4G;1Y4P;1Y4Q;1Y4R;1Y4V;1Y5F;1Y5J;1Y5K;1Y7C;1Y7D;1Y7G;1Y7Z;1Y83;1Y85;1Y8W;1YDZ;1YE0;1YE1;1YE2;1YEN;1YEO;1YEQ;1YEU;1YEV;1YFF;1YG5;1YGD;1YGF;1YH9;1YHE;1YHR;1YIE;1YIH;1YVQ;1YVT;1YZI;2D5Z;2D60;2DN1;2DN2;2DN3;2DXM;2H35;2HBC;2HBD;2HBE;2HBF;2HBS;2HCO;2HHB;2HHD;2HHE;2M6Z;2W6V;2W72;2YRS;3B75;3D17;3D7O;3DUT;3HHB;3HXN;3IC0;3IC2;3KMF;3NL7;3NMM;3ODQ;3ONZ;3OO4;3OO5;3P5Q;3QJB;3QJC;3QJD;3QJE;3R5I;3S65;3S66;3SZK;3W4U;3WCP;3WHM;4FC3;4HHB;4IJ2;4L7Y;4M4A;4M4B;4MQC;4MQG;4MQH;4MQI;4N7N;4N7O;4N7P;4N8T;4NI0;4NI1;4ROL;4ROM;4WJG;4X0L;4XS0;5E29;5E6E;5E83;5EE4;5HU6;5HY8;5JDO;5KDQ;5KSI;5KSJ;5NI1;5SW7;5U3I;5UCU;5UFJ;5URC;5VMM;5WOG;5WOH;5X2R;5X2S;5X2T;5X2U;6BB5;6BNR;6BWP;6BWU;6DI4;6FQF;6HAL;6HBW;6HK2;6KA9;6KAE;6KAH;6KAI;6KAO;6KAP;6KAQ;6KAR;6KAS;6KAT;6KAU;6KAV;6KYE;6L5V;6L5W;6L5X;6L5Y;6LCW;6LCX;6NBC;6NBD;6NQ5;6TB2;6XD9;6XDT;6XE7;7AET;7AEU;7AEV;7CUE;7DY3;7DY4;7JJQ;7JXZ;7JY0;7JY1;7JY3;7K4M;7PCF;7PCH;7PCQ;7UD7;7UD8;7UF6;7UF7;7UVB;7VDE;7XGY;8DOV;8EGI;8FDK;8FDL;8FDM;8FDN;8VYL;8WJ0;8WJ1;8WJ2;8WXZ;8XMP;8XMQ;8XMW;9AV9;9AYZ;9BCJ;9CQM;9CQN;9CQO;9CQP;9CQQ;9CQR;9CQS;9CQT;9CQU;9CQV;9CQW;9FHB;9FMU;9FNO
P00734,622,,70036.1126000002,Prothrombin,3.4.21.5,GO:0001530;GO:0004252;GO:0005102;GO:0005509;GO:0005576;GO:0005615;GO:0005788;GO:0005796;GO:0005886;GO:0006508;GO:0006953;GO:0007166;GO:0007596;GO:0008083;GO:0008201;GO:0008284;GO:0008360;GO:0009611;GO:0010544;GO:0030168;GO:0030193;GO:0030194;GO:0030195;GO:0030307;GO:0032024;GO:0032967;GO:0042730;GO:0045861;GO:0046427;GO:0048018;GO:0048712;GO:0051281;GO:0051480;GO:0051838;GO:0051897;GO:0051918;GO:0061844;GO:0070053;GO:0070062;GO:0070493;GO:0070945;GO:0072378;GO:0072562;GO:1900016;GO:1900182;GO:1900738;GO:1990806;GO:2000379,KW-0002;KW-0011;KW-0094;KW-0106;KW-0165;KW-0225;KW-0301;KW-0325;KW-0356;KW-0378;KW-0420;KW-0582;KW-0645;KW-0677;KW-0720;KW-0732;KW-0792;KW-0865;KW-0903;KW-0964;KW-1015;KW-1185;KW-1267,R-HSA-140837;R-HSA-140875;R-HSA-159740;R-HSA-159763;R-HSA-159782;R-HSA-202733;R-HSA-375276;R-HSA-381426;R-HSA-416476;R-HSA-456926;R-HSA-76009;R-HSA-9657688;R-HSA-9672391;R-HSA-977606,"Secreted, extracellular space","Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing. Activates coagulation factor XI (F11); activation is promoted by the contact with negatively charged surfaces (PubMed:2019570, PubMed:21976677). Triggers the production of pro-inflammatory cytokines, such as MCP-1/CCL2 and IL8/CXCL8, in endothelial cells (PubMed:30568593, PubMed:9780208)",,,Expressed by the liver and secreted in plasma,,0,0,0,0,0,0,0,0,0,400,1A2C;1A3B;1A3E;1A46;1A4W;1A5G;1A61;1ABI;1ABJ;1AD8;1AE8;1AFE;1AHT;1AI8;1AIX;1AWF;1AWH;1AY6;1B5G;1B7X;1BA8;1BB0;1BCU;1BHX;1BMM;1BMN;1BTH;1C1U;1C1V;1C1W;1C4U;1C4V;1C4Y;1C5L;1C5N;1C5O;1CA8;1D3D;1D3P;1D3Q;1D3T;1D4P;1D6W;1D9I;1DE7;1DIT;1DM4;1DOJ;1DWB;1DWC;1DWD;1DWE;1DX5;1E0F;1EB1;1EOJ;1EOL;1FPC;1FPH;1G30;1G32;1G37;1GHV;1GHW;1GHX;1GHY;1GJ4;1GJ5;1H8D;1H8I;1HAG;1HAH;1HAI;1HAO;1HAP;1HBT;1HDT;1HGT;1HLT;1HUT;1HXE;1HXF;1IHS;1IHT;1JMO;1JOU;1JWT;1K21;1K22;1KTS;1KTT;1LHC;1LHD;1LHE;1LHF;1LHG;1MH0;1MU6;1MU8;1MUE;1NM6;1NO9;1NRN;1NRO;1NRP;1NRQ;1NRR;1NRS;1NT1;1NU7;1NU9;1NY2;1NZQ;1O0D;1O2G;1O5G;1OOK;1OYT;1P8V;1PPB;1QBV;1QHR;1QJ1;1QJ6;1QJ7;1QUR;1RD3;1RIW;1SB1;1SFQ;1SG8;1SGI;1SHH;1SL3;1SR5;1T4U;1T4V;1TA2;1TA6;1TB6;1TBZ;1THP;1THR;1THS;1TMB;1TMT;1TMU;1TOM;1TQ0;1TQ7;1TWX;1UMA;1UVS;1VR1;1VZQ;1W7G;1WAY;1WBG;1XM1;1XMN;1YPE;1YPG;1YPJ;1YPK;1YPL;1YPM;1Z71;1Z8I;1Z8J;1ZGI;1ZGV;1ZRB;2A0Q;2A2X;2A45;2AFQ;2ANK;2ANM;2B5T;2BDY;2BVR;2BVS;2BVX;2BXT;2BXU;2C8W;2C8X;2C8Y;2C8Z;2C90;2C93;2CF8;2CF9;2CN0;2FEQ;2FES;2GDE;2GP9;2H9T;2HGT;2HNT;2HPP;2HPQ;2HWL;2JH0;2JH5;2JH6;2OD3;2PGB;2PGQ;2PKS;2PW8;2R2M;2THF;2UUF;2UUJ;2UUK;2V3H;2V3O;2ZC9;2ZDA;2ZDV;2ZF0;2ZFF;2ZFP;2ZFQ;2ZFR;2ZG0;2ZGB;2ZGX;2ZHE;2ZHF;2ZHQ;2ZHW;2ZI2;2ZIQ;2ZNK;2ZO3;3B23;3B9F;3BEF;3BEI;3BF6;3BIU;3BIV;3BV9;3C1K;3C27;3D49;3DA9;3DD2;3DHK;3DT0;3DUX;3E6P;3EE0;3EGK;3EQ0;3F68;3GIC;3GIS;3HAT;3HKJ;3HTC;3JZ1;3JZ2;3K65;3LDX;3LU9;3NXP;3P17;3P6Z;3P70;3PMH;3PO1;3QDZ;3QGN;3QLP;3QTO;3QTV;3QWC;3QX5;3R3G;3RLW;3RLY;3RM0;3RM2;3RML;3RMM;3RMN;3RMO;3S7H;3S7K;3SHA;3SHC;3SI3;3SI4;3SQE;3SQH;3SV2;3T5F;3TU7;3U69;3U8O;3U8R;3U8T;3U98;3U9A;3UTU;3UWJ;3VXE;3VXF;4AX9;4AYV;4AYY;4AZ2;4BAH;4BAK;4BAM;4BAN;4BAO;4BAQ;4BOH;4CH2;4CH8;4DIH;4DII;4DT7;4DY7;4E05;4E06;4E7R;4H6S;4H6T;4HFP;4HTC;4HZH;4I7Y;4LOY;4LXB;4LZ1;4LZ4;4MLF;4NZQ;4O03;4RKJ;4RKO;4RN6;4THN;4UD9;4UDW;4UE7;4UEH;4UFD;4UFE;4UFF;4UFG;4YES;5A2M;5AF9;5AFY;5AFZ;5AHG;5CMX;5DO4;5E8E;5EDK;5EDM;5EW1;5EW2;5GDS;5GIM;5JDU;5JFD;5JZY;5L6N;5MJT;5MLS;5MM6;5NHU;5TO3;5Z5W;5Z5X;6BJR;6C2W;6EO6;6EO7;6EO8;6EO9;6V5T;7KME;7TPP;8BWW;8KME;8RTN;8UF7;9CLN;9CLS;9CMO;9CTH
