uniprot_id,sequence_length,sequence_checksum,molecular_weight,recommended_name,ec_numbers,go_terms,keywords,reactome,subcellular_location,function,pathway,enzyme_regulation,tissue_specificity,developmental_stage,isoform_count,ft_transmem_count,ft_topo_dom_count,ft_domain_count,ft_region_count,ft_binding_count,ft_ptm_count,ft_variant_count,ft_mutagen_count,pdb_count,pdb_ids,aac_A,aac_R,aac_N,aac_D,aac_C,aac_E,aac_Q,aac_G,aac_H,aac_I,aac_L,aac_K,aac_M,aac_F,aac_P,aac_S,aac_T,aac_W,aac_Y,aac_V,paac_APAAC1,paac_APAAC2,paac_APAAC3,paac_APAAC4,paac_APAAC5,paac_APAAC6,paac_APAAC7,paac_APAAC8,paac_APAAC9,paac_APAAC10,paac_APAAC11,paac_APAAC12,paac_APAAC13,paac_APAAC14,paac_APAAC15,paac_APAAC16,paac_APAAC17,paac_APAAC18,paac_APAAC19,paac_APAAC20,paac_APAAC21,paac_APAAC22,paac_APAAC23,paac_APAAC24,paac_APAAC25,paac_APAAC26,paac_APAAC27,paac_APAAC28,paac_APAAC29,paac_APAAC30,paac_APAAC31,paac_APAAC32,paac_APAAC33,paac_APAAC34,paac_APAAC35,paac_APAAC36,paac_APAAC37,paac_APAAC38,paac_APAAC39,paac_APAAC40,ctd__PolarizabilityC1,ctd__PolarizabilityC2,ctd__PolarizabilityC3,ctd__SolventAccessibilityC1,ctd__SolventAccessibilityC2,ctd__SolventAccessibilityC3,ctd__SecondaryStrC1,ctd__SecondaryStrC2,ctd__SecondaryStrC3,ctd__ChargeC1,ctd__ChargeC2,ctd__ChargeC3,ctd__PolarityC1,ctd__PolarityC2,ctd__PolarityC3,ctd__NormalizedVDWVC1,ctd__NormalizedVDWVC2,ctd__NormalizedVDWVC3,ctd__HydrophobicityC1,ctd__HydrophobicityC2,ctd__HydrophobicityC3,ctd__PolarizabilityT12,ctd__PolarizabilityT13,ctd__PolarizabilityT23,ctd__SolventAccessibilityT12,ctd__SolventAccessibilityT13,ctd__SolventAccessibilityT23,ctd__SecondaryStrT12,ctd__SecondaryStrT13,ctd__SecondaryStrT23,ctd__ChargeT12,ctd__ChargeT13,ctd__ChargeT23,ctd__PolarityT12,ctd__PolarityT13,ctd__PolarityT23,ctd__NormalizedVDWVT12,ctd__NormalizedVDWVT13,ctd__NormalizedVDWVT23,ctd__HydrophobicityT12,ctd__HydrophobicityT13,ctd__HydrophobicityT23,ctd__PolarizabilityD1001,ctd__PolarizabilityD1025,ctd__PolarizabilityD1050,ctd__PolarizabilityD1075,ctd__PolarizabilityD1100,ctd__PolarizabilityD2001,ctd__PolarizabilityD2025,ctd__PolarizabilityD2050,ctd__PolarizabilityD2075,ctd__PolarizabilityD2100,ctd__PolarizabilityD3001,ctd__PolarizabilityD3025,ctd__PolarizabilityD3050,ctd__PolarizabilityD3075,ctd__PolarizabilityD3100,ctd__SolventAccessibilityD1001,ctd__SolventAccessibilityD1025,ctd__SolventAccessibilityD1050,ctd__SolventAccessibilityD1075,ctd__SolventAccessibilityD1100,ctd__SolventAccessibilityD2001,ctd__SolventAccessibilityD2025,ctd__SolventAccessibilityD2050,ctd__SolventAccessibilityD2075,ctd__SolventAccessibilityD2100,ctd__SolventAccessibilityD3001,ctd__SolventAccessibilityD3025,ctd__SolventAccessibilityD3050,ctd__SolventAccessibilityD3075,ctd__SolventAccessibilityD3100,ctd__SecondaryStrD1001,ctd__SecondaryStrD1025,ctd__SecondaryStrD1050,ctd__SecondaryStrD1075,ctd__SecondaryStrD1100,ctd__SecondaryStrD2001,ctd__SecondaryStrD2025,ctd__SecondaryStrD2050,ctd__SecondaryStrD2075,ctd__SecondaryStrD2100,ctd__SecondaryStrD3001,ctd__SecondaryStrD3025,ctd__SecondaryStrD3050,ctd__SecondaryStrD3075,ctd__SecondaryStrD3100,ctd__ChargeD1001,ctd__ChargeD1025,ctd__ChargeD1050,ctd__ChargeD1075,ctd__ChargeD1100,ctd__ChargeD2001,ctd__ChargeD2025,ctd__ChargeD2050,ctd__ChargeD2075,ctd__ChargeD2100,ctd__ChargeD3001,ctd__ChargeD3025,ctd__ChargeD3050,ctd__ChargeD3075,ctd__ChargeD3100,ctd__PolarityD1001,ctd__PolarityD1025,ctd__PolarityD1050,ctd__PolarityD1075,ctd__PolarityD1100,ctd__PolarityD2001,ctd__PolarityD2025,ctd__PolarityD2050,ctd__PolarityD2075,ctd__PolarityD2100,ctd__PolarityD3001,ctd__PolarityD3025,ctd__PolarityD3050,ctd__PolarityD3075,ctd__PolarityD3100,ctd__NormalizedVDWVD1001,ctd__NormalizedVDWVD1025,ctd__NormalizedVDWVD1050,ctd__NormalizedVDWVD1075,ctd__NormalizedVDWVD1100,ctd__NormalizedVDWVD2001,ctd__NormalizedVDWVD2025,ctd__NormalizedVDWVD2050,ctd__NormalizedVDWVD2075,ctd__NormalizedVDWVD2100,ctd__NormalizedVDWVD3001,ctd__NormalizedVDWVD3025,ctd__NormalizedVDWVD3050,ctd__NormalizedVDWVD3075,ctd__NormalizedVDWVD3100,ctd__HydrophobicityD1001,ctd__HydrophobicityD1025,ctd__HydrophobicityD1050,ctd__HydrophobicityD1075,ctd__HydrophobicityD1100,ctd__HydrophobicityD2001,ctd__HydrophobicityD2025,ctd__HydrophobicityD2050,ctd__HydrophobicityD2075,ctd__HydrophobicityD2100,ctd__HydrophobicityD3001,ctd__HydrophobicityD3025,ctd__HydrophobicityD3050,ctd__HydrophobicityD3075,ctd__HydrophobicityD3100
P69905,142,,15257.359099999983,Hemoglobin subunit alpha,,GO:0005344;GO:0005506;GO:0005576;GO:0005615;GO:0005829;GO:0005833;GO:0006954;GO:0015670;GO:0015671;GO:0016020;GO:0019825;GO:0020037;GO:0030185;GO:0031838;GO:0042542;GO:0042744;GO:0048821;GO:0070062;GO:0071682;GO:0072562;GO:0098869,KW-0002;KW-0007;KW-0225;KW-0325;KW-0349;KW-0360;KW-0408;KW-0479;KW-0561;KW-0597;KW-0813;KW-0903;KW-0971;KW-1185;KW-1267,R-HSA-1237044;R-HSA-1247673;R-HSA-2168880;R-HSA-9707564;R-HSA-9707616;R-HSA-9927020,,Involved in oxygen transport from the lung to the various peripheral tissues Hemopressin acts as an antagonist peptide of the cannabinoid receptor CNR1 (PubMed:18077343). Hemopressin-binding efficiently blocks cannabinoid receptor CNR1 and subsequent signaling (PubMed:18077343),,,Red blood cells,,0,0,0,0,0,0,0,0,0,341,1A00;1A01;1A0U;1A0Z;1A3N;1A3O;1A9W;1ABW;1ABY;1AJ9;1B86;1BAB;1BBB;1BIJ;1BUW;1BZ0;1BZ1;1BZZ;1C7B;1C7C;1C7D;1CLS;1CMY;1COH;1DKE;1DXT;1DXU;1DXV;1FDH;1FN3;1G9V;1GBU;1GBV;1GLI;1GZX;1HAB;1HAC;1HBA;1HBB;1HBS;1HCO;1HDB;1HGA;1HGB;1HGC;1HHO;1IRD;1J3Y;1J3Z;1J40;1J41;1J7S;1J7W;1J7Y;1JY7;1K0Y;1K1K;1KD2;1LFL;1LFQ;1LFT;1LFV;1LFY;1LFZ;1LJW;1M9P;1MKO;1NEJ;1NIH;1NQP;1O1I;1O1J;1O1K;1O1L;1O1M;1O1N;1O1O;1O1P;1QI8;1QSH;1QSI;1QXD;1QXE;1R1X;1R1Y;1RPS;1RQ3;1RQ4;1RQA;1RVW;1SDK;1SDL;1SHR;1SI4;1THB;1UIW;1VWT;1XXT;1XY0;1XYE;1XZ2;1XZ4;1XZ5;1XZ7;1XZU;1XZV;1Y01;1Y09;1Y0A;1Y0C;1Y0D;1Y0T;1Y0W;1Y22;1Y2Z;1Y31;1Y35;1Y45;1Y46;1Y4B;1Y4F;1Y4G;1Y4P;1Y4Q;1Y4R;1Y4V;1Y5F;1Y5J;1Y5K;1Y7C;1Y7D;1Y7G;1Y7Z;1Y83;1Y85;1Y8W;1YDZ;1YE0;1YE1;1YE2;1YEN;1YEO;1YEQ;1YEU;1YEV;1YFF;1YG5;1YGD;1YGF;1YH9;1YHE;1YHR;1YIE;1YIH;1YVQ;1YVT;1YZI;1Z8U;2D5Z;2D60;2DN1;2DN2;2DN3;2DXM;2H35;2HBC;2HBD;2HBE;2HBF;2HBS;2HCO;2HHB;2HHD;2HHE;2M6Z;2W6V;2W72;2YRS;3B75;3D17;3D7O;3DUT;3HHB;3HXN;3IA3;3IC0;3IC2;3KMF;3NL7;3NMM;3ODQ;3ONZ;3OO4;3OO5;3OVU;3P5Q;3QJB;3QJC;3QJD;3QJE;3R5I;3S48;3S65;3S66;3SZK;3WCP;3WHM;4FC3;4HHB;4IJ2;4L7Y;4M4A;4M4B;4MQC;4MQG;4MQH;4MQI;4MQJ;4MQK;4N7N;4N7O;4N7P;4N8T;4NI0;4NI1;4ROL;4ROM;4WJG;4X0L;4XS0;5E29;5E6E;5E83;5EE4;5HU6;5HY8;5JDO;5KDQ;5KSI;5KSJ;5NI1;5SW7;5U3I;5UCU;5UFJ;5URC;5VMM;5WOG;5WOH;5X2R;5X2S;5X2T;5X2U;6BB5;6BNR;6BWP;6BWU;6DI4;6HAL;6HBW;6HK2;6KA9;6KAE;6KAH;6KAI;6KAO;6KAP;6KAQ;6KAR;6KAS;6KAT;6KAU;6KAV;6KYE;6L5V;6L5W;6L5X;6L5Y;6LCW;6LCX;6NBC;6NBD;6NQ5;6TB2;6XD9;6XDT;6XE7;7AET;7AEU;7AEV;7CUE;7DY3;7DY4;7JJQ;7JXZ;7JY0;7JY1;7JY3;7K4M;7PCF;7PCH;7PCQ;7QU4;7UD7;7UD8;7UF6;7UF7;7UVB;7VDE;7XGY;8DOV;8EGI;8FDK;8FDL;8FDM;8FDN;8VYL;8WJ0;8WJ1;8WJ2;8WXW;8XMP;8XMQ;8XMW;9AV9;9AYZ;9BCJ;9CQM;9CQN;9CQO;9CQP;9CQQ;9CQR;9CQS;9CQT;9CQU;9CQV;9CQW;9FHB;9FMU;9FNO,14.789,2.113,2.817,5.634,0.704,2.817,0.704,4.93,7.042,0.0,12.676,7.746,2.113,4.93,4.93,7.746,6.338,0.704,2.113,9.155,14.938,2.134,2.845,5.691,0.711,2.845,0.711,4.98,7.113,0.0,12.804,7.824,2.134,4.98,4.98,7.824,6.402,0.711,2.134,9.247,-0.707,-0.5,0.182,-0.354,-0.01,-0.066,0.551,0.581,0.071,0.146,-1.126,-1.152,0.904,0.545,-0.076,-0.172,-0.091,-0.096,0.106,0.253,0.394,0.338,0.268,0.479,0.218,0.303,0.5,0.239,0.261,0.099,0.817,0.085,0.324,0.387,0.289,0.451,0.282,0.268,0.218,0.479,0.303,0.326,0.213,0.17,0.255,0.34,0.106,0.248,0.291,0.149,0.156,0.021,0.135,0.255,0.234,0.255,0.305,0.248,0.135,0.191,0.17,0.291,2.817,20.423,46.479,76.761,97.887,1.408,26.761,57.042,75.352,96.479,0.704,23.239,41.549,69.718,100.0,1.408,21.127,50.0,75.352,96.479,4.93,19.718,43.662,65.493,100.0,0.704,27.465,51.408,79.577,99.296,0.704,21.831,50.704,74.648,100.0,1.408,26.056,47.887,76.761,99.296,2.817,25.352,45.775,66.901,97.887,5.634,11.972,42.958,65.493,100.0,0.704,26.056,50.704,76.056,99.296,4.93,19.718,45.775,60.563,89.437,0.704,24.648,57.042,75.352,99.296,2.817,19.014,45.07,78.169,97.887,4.93,22.535,45.775,65.493,100.0,2.817,25.352,47.887,76.761,97.887,1.408,24.648,57.042,75.352,96.479,0.704,23.239,41.549,69.718,100.0,4.93,19.718,43.662,65.493,100.0,2.817,25.352,46.479,78.169,99.296,0.704,24.648,57.042,75.352,96.479
P68871,147,,15998.206399999986,Hemoglobin subunit beta,,GO:0005344;GO:0005576;GO:0005615;GO:0005829;GO:0005833;GO:0006954;GO:0008217;GO:0015670;GO:0015671;GO:0019825;GO:0020037;GO:0030185;GO:0030492;GO:0031721;GO:0031838;GO:0042542;GO:0042744;GO:0045429;GO:0046872;GO:0048821;GO:0070062;GO:0070293;GO:0070527;GO:0071682;GO:0072562;GO:0097746;GO:0098869;GO:1904724;GO:1904813,KW-0002;KW-0007;KW-0225;KW-0325;KW-0349;KW-0360;KW-0382;KW-0408;KW-0479;KW-0561;KW-0597;KW-0670;KW-0702;KW-0813;KW-0838;KW-0903;KW-0971;KW-1055;KW-1185;KW-1267,R-HSA-1237044;R-HSA-1247673;R-HSA-2168880;R-HSA-6798695;R-HSA-9613829;R-HSA-9615710;R-HSA-9707564;R-HSA-9707616;R-HSA-983231;R-HSA-9927020,,"Involved in oxygen transport from the lung to the various peripheral tissues LVV-hemorphin-7 potentiates the activity of bradykinin, causing a decrease in blood pressure Functions as an endogenous inhibitor of enkephalin-degrading enzymes such as DPP3, and as a selective antagonist of the P2RX3 receptor which is involved in pain signaling, these properties implicate it as a regulator of pain and inflammation",,,Red blood cells,,0,0,0,0,0,0,0,0,0,334,1A00;1A01;1A0U;1A0Z;1A3N;1A3O;1ABW;1ABY;1AJ9;1B86;1BAB;1BBB;1BIJ;1BUW;1BZ0;1BZ1;1BZZ;1C7B;1C7C;1C7D;1CBL;1CBM;1CH4;1CLS;1CMY;1COH;1DKE;1DXT;1DXU;1DXV;1FN3;1G9V;1GBU;1GBV;1GLI;1GZX;1HAB;1HAC;1HBA;1HBB;1HBS;1HCO;1HDB;1HGA;1HGB;1HGC;1HHO;1IRD;1J3Y;1J3Z;1J40;1J41;1J7S;1J7W;1J7Y;1JY7;1K0Y;1K1K;1KD2;1LFL;1LFQ;1LFT;1LFV;1LFY;1LFZ;1LJW;1M9P;1MKO;1NEJ;1NIH;1NQP;1O1I;1O1J;1O1K;1O1L;1O1M;1O1N;1O1O;1O1P;1QI8;1QSH;1QSI;1QXD;1QXE;1R1X;1R1Y;1RPS;1RQ3;1RQ4;1RQA;1RVW;1SDK;1SDL;1THB;1UIW;1VWT;1XXT;1XY0;1XYE;1XZ2;1XZ4;1XZ5;1XZ7;1XZU;1XZV;1Y09;1Y0A;1Y0C;1Y0D;1Y0T;1Y0W;1Y22;1Y2Z;1Y31;1Y35;1Y45;1Y46;1Y4B;1Y4F;1Y4G;1Y4P;1Y4Q;1Y4R;1Y4V;1Y5F;1Y5J;1Y5K;1Y7C;1Y7D;1Y7G;1Y7Z;1Y83;1Y85;1Y8W;1YDZ;1YE0;1YE1;1YE2;1YEN;1YEO;1YEQ;1YEU;1YEV;1YFF;1YG5;1YGD;1YGF;1YH9;1YHE;1YHR;1YIE;1YIH;1YVQ;1YVT;1YZI;2D5Z;2D60;2DN1;2DN2;2DN3;2DXM;2H35;2HBC;2HBD;2HBE;2HBF;2HBS;2HCO;2HHB;2HHD;2HHE;2M6Z;2W6V;2W72;2YRS;3B75;3D17;3D7O;3DUT;3HHB;3HXN;3IC0;3IC2;3KMF;3NL7;3NMM;3ODQ;3ONZ;3OO4;3OO5;3P5Q;3QJB;3QJC;3QJD;3QJE;3R5I;3S65;3S66;3SZK;3W4U;3WCP;3WHM;4FC3;4HHB;4IJ2;4L7Y;4M4A;4M4B;4MQC;4MQG;4MQH;4MQI;4N7N;4N7O;4N7P;4N8T;4NI0;4NI1;4ROL;4ROM;4WJG;4X0L;4XS0;5E29;5E6E;5E83;5EE4;5HU6;5HY8;5JDO;5KDQ;5KSI;5KSJ;5NI1;5SW7;5U3I;5UCU;5UFJ;5URC;5VMM;5WOG;5WOH;5X2R;5X2S;5X2T;5X2U;6BB5;6BNR;6BWP;6BWU;6DI4;6FQF;6HAL;6HBW;6HK2;6KA9;6KAE;6KAH;6KAI;6KAO;6KAP;6KAQ;6KAR;6KAS;6KAT;6KAU;6KAV;6KYE;6L5V;6L5W;6L5X;6L5Y;6LCW;6LCX;6NBC;6NBD;6NQ5;6TB2;6XD9;6XDT;6XE7;7AET;7AEU;7AEV;7CUE;7DY3;7DY4;7JJQ;7JXZ;7JY0;7JY1;7JY3;7K4M;7PCF;7PCH;7PCQ;7UD7;7UD8;7UF6;7UF7;7UVB;7VDE;7XGY;8DOV;8EGI;8FDK;8FDL;8FDM;8FDN;8VYL;8WJ0;8WJ1;8WJ2;8WXZ;8XMP;8XMQ;8XMW;9AV9;9AYZ;9BCJ;9CQM;9CQN;9CQO;9CQP;9CQQ;9CQR;9CQS;9CQT;9CQU;9CQV;9CQW;9FHB;9FMU;9FNO,10.204,2.041,4.082,4.762,1.361,5.442,2.041,8.844,6.122,0.0,12.245,7.483,1.361,5.442,4.762,3.401,4.762,1.361,2.041,12.245,10.419,2.084,4.168,4.862,1.39,5.557,2.084,9.03,6.251,0.0,12.503,7.641,1.39,5.557,4.862,3.473,4.862,1.39,2.084,12.503,-0.337,0.066,-0.26,-0.888,-0.184,-0.031,0.618,0.781,0.041,0.061,-1.113,-0.832,0.301,-0.041,-0.01,-0.097,0.179,0.087,-0.082,-0.368,0.32,0.422,0.259,0.517,0.259,0.224,0.469,0.272,0.259,0.095,0.803,0.102,0.361,0.32,0.32,0.381,0.361,0.259,0.259,0.401,0.34,0.295,0.171,0.212,0.288,0.233,0.096,0.26,0.219,0.151,0.158,0.021,0.158,0.247,0.253,0.219,0.295,0.199,0.185,0.205,0.178,0.295,3.401,20.408,47.619,64.626,97.279,1.361,21.769,53.741,74.83,96.599,0.68,27.891,48.98,79.592,100.0,1.361,23.129,51.02,76.19,97.279,4.762,21.088,45.578,69.388,98.639,0.68,25.17,43.537,68.707,100.0,0.68,22.449,53.061,78.231,100.0,1.361,23.81,46.259,76.871,99.32,4.082,25.17,44.218,64.626,95.238,6.122,21.088,44.898,65.306,98.639,0.68,25.17,51.701,76.871,100.0,4.762,14.966,32.653,61.905,82.993,0.68,23.129,48.98,74.83,99.32,3.401,20.408,44.218,73.469,97.279,2.041,27.211,53.061,71.429,100.0,3.401,26.531,48.299,68.707,97.279,1.361,19.728,51.701,74.15,96.599,0.68,27.891,48.98,79.592,100.0,4.762,21.088,45.578,69.388,98.639,2.041,25.17,49.66,80.272,100.0,0.68,22.449,48.98,72.789,96.599
P00734,622,,70036.1126000002,Prothrombin,3.4.21.5,GO:0001530;GO:0004252;GO:0005102;GO:0005509;GO:0005576;GO:0005615;GO:0005788;GO:0005796;GO:0005886;GO:0006508;GO:0006953;GO:0007166;GO:0007596;GO:0008083;GO:0008201;GO:0008284;GO:0008360;GO:0009611;GO:0010544;GO:0030168;GO:0030193;GO:0030194;GO:0030195;GO:0030307;GO:0032024;GO:0032967;GO:0042730;GO:0045861;GO:0046427;GO:0048018;GO:0048712;GO:0051281;GO:0051480;GO:0051838;GO:0051897;GO:0051918;GO:0061844;GO:0070053;GO:0070062;GO:0070493;GO:0070945;GO:0072378;GO:0072562;GO:1900016;GO:1900182;GO:1900738;GO:1990806;GO:2000379,KW-0002;KW-0011;KW-0094;KW-0106;KW-0165;KW-0225;KW-0301;KW-0325;KW-0356;KW-0378;KW-0420;KW-0582;KW-0645;KW-0677;KW-0720;KW-0732;KW-0792;KW-0865;KW-0903;KW-0964;KW-1015;KW-1185;KW-1267,R-HSA-140837;R-HSA-140875;R-HSA-159740;R-HSA-159763;R-HSA-159782;R-HSA-202733;R-HSA-375276;R-HSA-381426;R-HSA-416476;R-HSA-456926;R-HSA-76009;R-HSA-9657688;R-HSA-9672391;R-HSA-977606,"Secreted, extracellular space","Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing. Activates coagulation factor XI (F11); activation is promoted by the contact with negatively charged surfaces (PubMed:2019570, PubMed:21976677). Triggers the production of pro-inflammatory cytokines, such as MCP-1/CCL2 and IL8/CXCL8, in endothelial cells (PubMed:30568593, PubMed:9780208)",,,Expressed by the liver and secreted in plasma,,0,0,0,0,0,0,0,0,0,400,1A2C;1A3B;1A3E;1A46;1A4W;1A5G;1A61;1ABI;1ABJ;1AD8;1AE8;1AFE;1AHT;1AI8;1AIX;1AWF;1AWH;1AY6;1B5G;1B7X;1BA8;1BB0;1BCU;1BHX;1BMM;1BMN;1BTH;1C1U;1C1V;1C1W;1C4U;1C4V;1C4Y;1C5L;1C5N;1C5O;1CA8;1D3D;1D3P;1D3Q;1D3T;1D4P;1D6W;1D9I;1DE7;1DIT;1DM4;1DOJ;1DWB;1DWC;1DWD;1DWE;1DX5;1E0F;1EB1;1EOJ;1EOL;1FPC;1FPH;1G30;1G32;1G37;1GHV;1GHW;1GHX;1GHY;1GJ4;1GJ5;1H8D;1H8I;1HAG;1HAH;1HAI;1HAO;1HAP;1HBT;1HDT;1HGT;1HLT;1HUT;1HXE;1HXF;1IHS;1IHT;1JMO;1JOU;1JWT;1K21;1K22;1KTS;1KTT;1LHC;1LHD;1LHE;1LHF;1LHG;1MH0;1MU6;1MU8;1MUE;1NM6;1NO9;1NRN;1NRO;1NRP;1NRQ;1NRR;1NRS;1NT1;1NU7;1NU9;1NY2;1NZQ;1O0D;1O2G;1O5G;1OOK;1OYT;1P8V;1PPB;1QBV;1QHR;1QJ1;1QJ6;1QJ7;1QUR;1RD3;1RIW;1SB1;1SFQ;1SG8;1SGI;1SHH;1SL3;1SR5;1T4U;1T4V;1TA2;1TA6;1TB6;1TBZ;1THP;1THR;1THS;1TMB;1TMT;1TMU;1TOM;1TQ0;1TQ7;1TWX;1UMA;1UVS;1VR1;1VZQ;1W7G;1WAY;1WBG;1XM1;1XMN;1YPE;1YPG;1YPJ;1YPK;1YPL;1YPM;1Z71;1Z8I;1Z8J;1ZGI;1ZGV;1ZRB;2A0Q;2A2X;2A45;2AFQ;2ANK;2ANM;2B5T;2BDY;2BVR;2BVS;2BVX;2BXT;2BXU;2C8W;2C8X;2C8Y;2C8Z;2C90;2C93;2CF8;2CF9;2CN0;2FEQ;2FES;2GDE;2GP9;2H9T;2HGT;2HNT;2HPP;2HPQ;2HWL;2JH0;2JH5;2JH6;2OD3;2PGB;2PGQ;2PKS;2PW8;2R2M;2THF;2UUF;2UUJ;2UUK;2V3H;2V3O;2ZC9;2ZDA;2ZDV;2ZF0;2ZFF;2ZFP;2ZFQ;2ZFR;2ZG0;2ZGB;2ZGX;2ZHE;2ZHF;2ZHQ;2ZHW;2ZI2;2ZIQ;2ZNK;2ZO3;3B23;3B9F;3BEF;3BEI;3BF6;3BIU;3BIV;3BV9;3C1K;3C27;3D49;3DA9;3DD2;3DHK;3DT0;3DUX;3E6P;3EE0;3EGK;3EQ0;3F68;3GIC;3GIS;3HAT;3HKJ;3HTC;3JZ1;3JZ2;3K65;3LDX;3LU9;3NXP;3P17;3P6Z;3P70;3PMH;3PO1;3QDZ;3QGN;3QLP;3QTO;3QTV;3QWC;3QX5;3R3G;3RLW;3RLY;3RM0;3RM2;3RML;3RMM;3RMN;3RMO;3S7H;3S7K;3SHA;3SHC;3SI3;3SI4;3SQE;3SQH;3SV2;3T5F;3TU7;3U69;3U8O;3U8R;3U8T;3U98;3U9A;3UTU;3UWJ;3VXE;3VXF;4AX9;4AYV;4AYY;4AZ2;4BAH;4BAK;4BAM;4BAN;4BAO;4BAQ;4BOH;4CH2;4CH8;4DIH;4DII;4DT7;4DY7;4E05;4E06;4E7R;4H6S;4H6T;4HFP;4HTC;4HZH;4I7Y;4LOY;4LXB;4LZ1;4LZ4;4MLF;4NZQ;4O03;4RKJ;4RKO;4RN6;4THN;4UD9;4UDW;4UE7;4UEH;4UFD;4UFE;4UFF;4UFG;4YES;5A2M;5AF9;5AFY;5AFZ;5AHG;5CMX;5DO4;5E8E;5EDK;5EDM;5EW1;5EW2;5GDS;5GIM;5JDU;5JFD;5JZY;5L6N;5MJT;5MLS;5MM6;5NHU;5TO3;5Z5W;5Z5X;6BJR;6C2W;6EO6;6EO7;6EO8;6EO9;6V5T;7KME;7TPP;8BWW;8KME;8RTN;8UF7;9CLN;9CLS;9CMO;9CTH,6.752,7.074,4.019,5.627,4.18,8.199,4.18,7.878,2.09,3.537,8.199,4.662,1.447,3.376,5.305,6.109,5.788,2.251,3.376,5.949,6.63,6.946,3.946,5.525,4.104,8.051,4.104,7.736,2.052,3.473,8.051,4.578,1.421,3.315,5.209,5.999,5.683,2.21,3.315,5.842,-0.034,0.408,-0.255,-0.182,-0.098,0.118,0.27,0.535,0.098,0.52,0.01,0.074,-0.353,-0.059,-0.049,-0.025,0.044,0.329,0.182,0.275,0.322,0.436,0.243,0.421,0.338,0.241,0.426,0.285,0.289,0.117,0.744,0.138,0.323,0.318,0.359,0.416,0.341,0.243,0.338,0.373,0.289,0.253,0.166,0.213,0.293,0.193,0.156,0.235,0.245,0.155,0.169,0.04,0.196,0.198,0.235,0.24,0.259,0.221,0.158,0.258,0.192,0.213,0.322,25.884,48.232,74.277,99.839,0.643,22.99,46.785,72.186,100.0,0.161,27.01,60.129,79.904,99.678,0.322,22.83,49.839,76.206,99.839,0.804,25.563,51.286,74.116,100.0,0.161,23.794,46.624,72.026,97.267,0.161,18.81,47.749,71.383,100.0,0.643,26.527,50.965,77.331,99.678,0.965,29.582,51.125,77.814,99.839,0.804,25.402,58.36,78.135,98.875,0.161,23.955,47.267,74.92,99.839,7.878,27.814,49.196,69.936,100.0,0.161,27.01,54.823,76.206,99.678,0.322,23.473,44.695,71.061,99.839,0.482,24.759,50.161,73.955,100.0,0.322,25.241,45.659,73.955,99.839,0.643,22.83,47.91,72.186,100.0,0.161,27.01,60.129,79.904,99.678,0.804,25.563,51.286,74.116,100.0,0.322,23.473,45.177,72.508,99.839,0.161,25.241,54.823,76.206,99.678
